"ID","Drone","Day","Mo","Year","City_original","State","Country","Location.new","Geocluster","Latitude","Longitude","Collector","Varroa","Other_obs","Weather","Beekeeper","PRCP","TMAX","TMIN"
"1411","",12,9,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"MDR, JHZM, ISMAEL, POLO",NA,"0.850 KG","NUBLADO, 14:30H","TRAPLINE",0.06,81,66
"1412","",12,9,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.550KG","NUBLADO","TRAPLINE",0.06,81,66
"1405_A","",12,9,1990,"ACMBRES-VICT","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"MDR, JHZM",NA,"0.2 KG DE ABEJAS","NUBLADO, 09:00H","TRAPLINE",0.06,81,66
"1413","",13,9,1990,"PESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR",NA,"0.700 KG","MEDIO NUBLADO, 13:10H","TRAPLINE",0,87,69
"1414","",13,9,1990,"PESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM,MDR",NA,"0.630 KG INTERMEDIATE SITE PROBABLY CREATED FROM COMPARACION SITE # 135, KM 12.2","MEDIO NUBLADO, 14:10H","TRAPLINE",0,87,69
"1415","",13,9,1990,"PESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR",NA,"0.800 KG","DESPEJADO, 15:35H","TRAPLINE",0,87,69
"1416","",13,9,1990,"PESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR",NA,"1.550 KG, MUY DEFENSIVO","DESPEJADO 16:15H","TRAPLINE",0,87,69
"1418","",7,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, WLR",NA,"0.61KG, INTERM SITE KM 5.0","NIEBLINA 08:00, 20C","TRAPLINE",0,91,70
"1419","",7,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, WLR",NA,"10% CRIA DE ZANGANO, BASTANTE POLEN, POCA MIEL, NO SE PESO","SOLEADO, 09:2025C","TRAPLINE",0,91,70
"1420","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"INTRM SITE KM 149.2 MUCHA MIEL Y POLEN, NO SE HIZO PRUEBA DE DEFENSIVIDAD","NUBLADO 11:08","TRAPLINE",0.02,90,70
"1421","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"MIEL Y POLEN","MEDIO NUBLADO, 13:20,","TRAPLINE",0.02,90,70
"1422","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"1.3KG, NO PRUEBA","NUBLADO, VIENTO, 14:00","TRAPLINE",0.02,90,70
"1423","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"1.4KG, POCA MIEL, PANALES GRANDES","NUBLADO, VIENTO, 14:00","TRAPLINE",0.02,90,70
"1424","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"0.8KG, CELDILLA DE ZANGANO","NUBLADO, VIENTO, 14:29","TRAPLINE",0.02,90,70
"1425","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"1.7KG, MUCHA MIEL, POLEN, INTERM SITE KM 19","NUBLADO, VIENTO, 14:55","TRAPLINE",0.02,90,70
"1426","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"1.00KG, MUCHA CRIA DE OBRERA, NO PRUEBA","NUBLADO, VIENTO, 15:25","TRAPLINE",0.02,90,70
"1427","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"0.9KG MIEL OPERCULADA","NUBLADO, VIENTO, 16:00","TRAPLINE",0.02,90,70
"1428","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,".450KG, OLD WINSTON, NOW INTERM SITE KM 28, ENJAMBRE RESIDUAL CON REINA (O OTRO ENJAMBRE), NO PRUEBA","NUBLADO, VIENTO, 16:20","TRAPLINE",0.02,90,70
"1429","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"1.7KG, MIEL Y POLEN, OLD WINSTON NOW INTERM SITE KM28, NO PRUEBA","NUBLADO, VIENTO, 16:20","TRAPLINE",0.02,90,70
"1430","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"0.650KG, MIEL Y POLEN","NUBLADO, VIENTO, 16:20","TRAPLINE",0.02,90,70
"1431","",9,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"1.20KG, MIEL Y POLEN, NO PRUEBA","NUBLADO, VIENTO, FRIO, 15C,","TRAPLINE",0.02,90,70
"1432","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"0.700KG POCO MIEL, POLEN, ENJAMBRE PEQUENO, NO PRUEBA","NUBLADO, VIENTO, FRIO, 15C, 08:15","TRAPLINE",0.01,66,57
"1433","YES",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"1.00KG, POCO MIEL, POLEN, NO PRUEBA","NUBLADO, 09:00","TRAPLINE",0.01,66,57
"1434","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR",NA,"3.6KG, POCA MIEL, NO POLEN, ESTE TRAMPA QUEDO ARRIBA ABIERTA, INTERM SITE KM 41.6, NO PRUEBA","NUBLADO, 09:20","TRAPLINE",0.01,66,57
"1435","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"0.950KG, MIEL, POLEN, TRAMPA REPARADA POR RUBINK, NO PRUEBA","NUBLADO, VIENTO, 15C, 09:35","TRAPLINE",0.01,66,57
"1436","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.450KG, MIEL, POLEN, CELDILLA DE ZANGANO, NO PRUEBA","NUBLADO, VIENTO, 15C, 10:00","TRAPLINE",0.01,66,57
"1437","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.300KG, NO MIEL, NO POLEN, NO PRUEBA","NUBLADO, VIENTO, 15C, 10:00","TRAPLINE",0.01,66,57
"1438","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"0.800KG, MIEL Y POLEN, NO PRUEBA, INTERM SITE KM 48.7","NUBLADO, VIENTO, 15C, 10:20","TRAPLINE",0.01,66,57
"1439","YES",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.300KG, MIEL SIN OPERCULA, NO PRUEBA","NUBLADO, VIENTO, FRIO 10:45","TRAPLINE",0.01,66,57
"1440","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.10KG, POCA MIEL","MEDIO NUBLADO, VIENTO, 16C, 13:00","TRAPLINE",0.01,66,57
"1441","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"0.600KG, NADA DE MIEL, DOBLE REINA, 10 COPACELDAS, NO PRUEBA","MEDIO NUBLADO, VIENTO, 16C, 13:00","TRAPLINE",0.01,66,57
"1442","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.500KG, MUCHA ACTIVIDAD","MEDIO NUBLADO, VIENTO, 17C,","TRAPLINE",0.01,66,57
"1443","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"0.650KG, NO MIEL, OLD WINSTON, NOW INTERM SITE KM 102.1","MEDIO NUBLADO, VIENTO, 17C, 14:30","TRAPLINE",0.01,66,57
"1444","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"0.650KG, NO MIEL, INTERM SITE KM 109.5, NO PRUEBA","MEDIO NUBLADO, VIENTO, 17C, 14:55","TRAPLINE",0.01,66,57
"1445","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.200KG, POCO MIEL, NO PRUEBA","MEDIO NUBLADO, 17C, 15:30","TRAPLINE",0.01,66,57
"1446","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"2.300KG, NO HAY PANALES, NO PRUEBA","MEDIO NUBLADO, 17C, 15:30","TRAPLINE",0.01,66,57
"1447","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.75KG, NO HAY PANALES, NO PRUEBA","MEDIO NUBLADO, 17C, 15:30","TRAPLINE",0.01,66,57
"1448","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"0.900KG, MIEL OPERCULADA, NO PRUEBA","MEDIO NUBLADO, 17C, 16:00","TRAPLINE",0.01,66,57
"1449","",10,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM, MDR, IGI",NA,"1.200KG, POCO MIEL,POLEN, NO PRUEBA, OLD WINSTON NOW INTERM SITE KM 115.2","MEDIO NUBLADO, 17C, 16:20","TRAPLINE",0.01,66,57
"1450","",10,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"0.900KG, NO PRUEBA","MEDIO NUBLADO, 17C, 17:00","TRAPLINE",0,78,46
"1452","",10,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"0.700KG, POCA MIEL, POCO POLEN, NO PRUEBA","MEDIO NUBLADO, 17C","TRAPLINE",0,78,46
"1453","",10,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"0.700KG, POCA MIEL, NO PRUEBA","MEDIO NUBLADO, 17C","TRAPLINE",0,78,46
"1455","",11,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"0.700KG, MUCHA MIEL Y POLEN, NO PRUEBA","DESPEJADO, 11:53","TRAPLINE",0,86,41
"1456","",11,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"1.00KG, MUCHA MIEL Y P0LEN, NO PRUEBA, NADAMAS? HAY CELDILLA","DESPEJADO, 12:30","TRAPLINE",0,86,41
"1458","",11,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"1.400KG, POCA MIEL Y POCO POLEN, NO PRUEBA, INTERM SITE KM 37.3","DESPEJADO,Y SOLEADO, 13:00","TRAPLINE",0,86,41
"1459","",11,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"0.900KG, POCA MIEL Y POLEN, NO PRUEBA, INTERM SITE KM 43.5","DESPEJADO,Y SOLEADO, 13:25","TRAPLINE",0,86,41
"1460","",11,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"NO PRUEBA, INTERM SITE KM 43.5, NO SAMPLES OR BROOD CIRCLED, NO PESO","DESPEJADO,Y SOLEADO, 13:25","TRAPLINE",0,86,41
"1461","",11,10,1990,"LAPESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"JHZM, MDR, IGI",NA,"0.900KG, POCA MIEL Y POLEN, NO PRUEBA, USED BLANK DATA SHEET BECAUSE RUBINK USED THIS ONE FOR ANOTHER SITE.","DESPEJADO,Y SOLEADO, 14:15","TRAPLINE",0,86,41
"1468","",24,10,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.900KG, ENJAMBRE RESIDUAL","MEDIO NUBLADO,15:35H","TRAPLINE",0,81,55
"1505","",4,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR,JHZM",NA,"0.25KG, VERY LITTLE POLLEN, NECTAR, DRONE COMB, NO DRONES, FEW SEALED PUPAE",NA,"TRAPLINE",0,76,64
"1506","",4,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, JHZM",NA,"ALGUNOS ZANGANOS, POLLEN SOME NECTAR, MANY EGGS, NO SAMPLES CIRCLED",NA,"TRAPLINE",0,76,64
"1508","",4,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR,JHZM",NA,"1.200KG, A FEW DRONES PRESENT, NO PRUEBA",NA,"TRAPLINE",0,76,64
"1495","",5,11,1990,"PESCA-SLM","TAMAULIPAS","MEXICO","La Pesca region","TAM",23.787763,-97.776215,"WLR",NA,"1.6KG, DRONES PRESENT, 4 OF 9 COMBS DRONE COMB, CAN'T READ COMBX",NA,"TRAPLINE",0,78,59
"1498","",5,11,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR, JHZM",NA,"0.700KG, ALGUNOS ZANGANOS, NO PRUEBA",NA,"TRAPLINE",0,87,60
"1501","",5,11,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR, JHZM",NA,"0.360KG, ZANGANOS, NO PRUEBA",NA,"TRAPLINE",0,87,60
"1503","",5,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR",NA,"0.810KG, POLEN ABUNDANTE, PROPOLIO EN PIQUERA ??? 1CM DIAM",NA,"TRAPLINE",0,69,57
"1500_A","",5,11,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR, JHZM",NA,"0.250KG, ZANGANOS, NO PRUEBA",NA,"TRAPLINE",0,87,60
"1509","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.250KG, ENJAMBRE PEQUENO, INTERMEDIATE SITE #48.3, ALCOHOL REINA","DESPEJADO","TRAPLINE",0,87,59
"1510","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.650KG, MUCHA MIEL, 4 PANALES CAIDOS, KM 24.5, ALCOHOL REINA","DESPEJADO","TRAPLINE",0,87,59
"1511","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.400KG, ENJAMBRE PEQUENO, ADULT DRONES, INTERMEDIATE SITE AT KM 69, ACOHOL REINA","MEDIO NUBLADO","TRAPLINE",0,87,59
"1512","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.500KG, MUCHA MIEL Y POLEN, INTERMEDIATE SITE AT KM 79.2, ALCOHOL REINA","MEDIO NUBLADO","TRAPLINE",0,87,59
"1513","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"1.250KG, POCO POLEN Y MIEL, KM 80.3, ALCOHOL REINA","MEDIO NUBLADO","TRAPLINE",0,87,59
"1514","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.200KG, ZANGANOS, POCA MIEL Y POLEN, SOSPECHOSO, ALCOHOL REINA","MEDIO NUBLADO","TRAPLINE",0,87,59
"1515_A","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.250KG, POLEN Y MIEL, SOSPECHOSO, ALCOHOL REINA","MEDIO NUBLADO","TRAPLINE",0,87,59
"1515_B","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"0.250KG, POLEN Y MIEL, SOSPECHOSO, ALCOHOL REINA","MEDIO NUBLADO","TRAPLINE",0,87,59
"1516_B","",21,11,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"JHZM",NA,"1.85KG, MUCHA MIEL Y POLEN, ALCOHOL REINA","MEDIO NUBLADO","TRAPLINE",0,87,59
"1517","",11,12,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, KRW, JHZM",NA,"0.125KG, MUESTRAS DE CRIA Y ENJ. ENTERO, SITIO INTERMEDIO #54.5 KM 5.0, POCA MIEL Y POLEN, SIN ZANGANOS","SOLEADO, WARM","TRAPLINE",0,79,46
"1519","",11,12,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, JHZM, KRW",NA,"0.175KG, MUESTRA ENJ. ENTERO, ENJ MUY CHICO Y NUEVO, NO HAY PANAL, KM 80.3 FEW RESIDUALS LEFT OUT.","NUBLADO","TRAPLINE",0,79,46
"1520","",11,12,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, JHZM, KRW",NA,"1.125KG, MUCHAS ABEJAS PORFUERAS, NADA DENTRO, BASTANTES ZANGANOS ~5%, NO PANALES, SITIO INTERM KM 81.9",NA,"TRAPLINE",0,79,46
"1521","",11,12,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, JHZM, KRW",NA,"0.155KG, MUESTRA DE CRIA, ZANGANOS, KM 85.5","NUBLADO","TRAPLINE",0,79,46
"1522","",11,12,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, KRW, JHZM",NA,"1.575KG, MUESTRAS DE CRIA Y ENJ. PARCIAL, CASI 3 A GENERACION, OVIPOSITION LIMITED; LOTS OF EMPTY CELLS, EGGS SCATTERED, SEALED BROOD BETTER PATTERN, POCA MIEL Y POLEN, SIN ZANGANOS, SIT INTER KM116.4","NUBLADO","TRAPLINE",0,79,46
"1532","",11,12,1990,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, KRW, JHZM",NA,"0.225KG, 2 MUESTRAS DE ETOH, MUESTRAS DE CRIA Y ENJ. ENTERO, HUEVOS TO EDGE OF COMB, RATAS CON ABEJAS, AVISPAS ENTRE TAPAS(ROJA-AMARILLAS), KM 53.1",NA,"TRAPLINE",0,79,46
"1523","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"JHZM, KRW, IGI",NA,"1.825KG, ZANGANOS ADULTOS, 9 COPACELDAS, 2 CON HUEVO, ON BOTTOM EDGE OF COMBS, SAMPLED ONLY PART OF SWARM BECAUSE ISN'T REALLY A SWARM ANYMORE, MUY GRANDE Y VIEJO; REALMENTE HAY CRIA DE 3 A GENERACION","SOLEADO CON NUBLINA","TRAPLINE",0,80,42
"1525","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"KRW, IGI, JHZM",NA,"0.375KG, 1 A GENERACION DE CRIA A EDGE OF PANAL, PIQUERA 75% PROPOLIZADA, 2 MUESTRAS DE ALCOHOL, MUCHA MIEL OPERCULADA, MUESTRA DE CRIA ABEJAS NO ENTRAN DERECHO","SOLEADO, VIENTITO","TRAPLINE",0,80,42
"1526","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"KRW, JHZM, IGI",NA,"0.725KG, 2 MUESTRAS DE ETOH, MUESTRA DE CRIA, ENJAMBRE ENTERO MUCHO POLEN, PIQUERA 80% PROPOLIZADA, ARANA VIUDA NEGRA, KM 39.8","SOLEADO, ~70F","TRAPLINE",0,80,42
"1527","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"KRW, JHZM, IGI",NA,"0.525KG, 2 MUESTRAS DE ETOH, MUESTRA DE CRIA, ENJAMBRE ENTERO, BASTANTE POLEN Y MIEL, AVISPAS ROJAS ENTRE TAPAS","SOLEADO, ~70F","TRAPLINE",0,80,42
"1528","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"KRW, JHZM, IGI",NA,"0.175KG, 2 MUESTRAS ETOH, MUESTRA DE CRIA, ENJAMBRE ENTERO, LLENA DE CRIA. KM 44","SOLEADO, ~80F","TRAPLINE",0,80,42
"1529","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"KRW, JHZM, IGI",NA,"0.575KG, 2 MUESTRA DE ETOH, MUESTRA DE CRIA, ENJAMBRE ENTERO, BASTANTE MIEL Y POLEN, HUEVOS TO EDGE OF COMB, KM 44","SOLEADO, ~80F","TRAPLINE",0,80,42
"1530","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"KRW, JHZM, IGI",NA,"2.225KG, MUCHAS ABEJAS, ENJAMBRE NUEVO, MUESTRA DE ENJAMBRE ENTERO, SITIO INTERMEDIO #16.5, KM 45.6","SOLEADO, 80F","TRAPLINE",0,80,42
"1531","",12,12,1990,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"KRW, JHZM, IGI",NA,"0.375KG, 2 MUESTRAS DE ETOH, MUESTRAS DE CRIA Y ENJ. ENTERO, KM 49.5 NIDO DE RATA SIN RATAS","SOLEADO, POCO VIENTO","TRAPLINE",0,80,42
"1533","",15,1,1991,"ACMBRES-VICT","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, JHZM, BTG",NA,"0.225KG, MUESTRA DE CRIA Y ENJ ENTERO, NO HAY ZANGANOS",NA,"TRAPLINE",0,79,50
"1550","",15,1,1991,"ACMBRES-VICT","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, JHZM, BTG",NA,"0.525KG,NO ZANG,ENJ ENTERO,ORIG #1532,BUT USED LAST MONTH;GIVEN 1550,BUT USED LATER TOO,WILL RETAIN SMPL #1550 + RENUMBER SUBSEQUENT SAMPLE (LATE JAN) AS 1784, SLIDES MAY BE 1532A",NA,"TRAPLINE",0,79,50
"1534","",16,1,1991,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR",NA,"0.425KG, NO TIENE PANAL, MUESTRA DE ENJ ENTERO",NA,"TRAPLINE",NA,82,42
"1535","",16,1,1991,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR",NA,"1.475KG, NO HAY ZANGANOS, MUESTRA DE ENJ ENTERO",NA,"TRAPLINE",NA,82,42
"1536","",16,1,1991,"SLM-PESCA","TAMAULIPAS","MEXICO","Soto La Marina region","TAM",23.771584,-98.207932,"WLR",NA,"0.825KG, NO HAY ZANGANOS, MUESTRA DE ENJ PARCIAL",NA,"TRAPLINE",NA,82,42
"1537","",16,1,1991,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR",NA,"0.875KG, NO ZANGANOS, ENJ PARCIAL",NA,"TRAPLINE",0,80,48
"1538","",16,1,1991,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR",NA,"1.325KG, ENJ PARCIAL, MUCHO NECTAR, MUCHAS CELDILLAS DE ZANGANO",NA,"TRAPLINE",0,80,48
"1539","",16,1,1991,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR",NA,"0.275KG, ENJ PARCIAL, ZANGANOS PRESENTE, SIT INTERM #31.6, KM 74.8",NA,"TRAPLINE",0,80,48
"1540","",16,1,1991,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR",NA,"0.625KG, ENJ PARCIAL, 1 PANALCITO ZANGANERO, NO ZANGANOS, MUCHO NECTAR POCO POLLEN",NA,"TRAPLINE",0,80,48
"1544","",16,1,1991,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR",NA,"ENJ ENTERO, SIN ZANGANOS, CERA MUY ""AGUADA""(?), MUCHO NECTAR, ALGO DE POLEN, SITIO INTERM #36.5, KM 57.7",NA,"TRAPLINE",0,80,48
"1545","",16,1,1991,"VICT-SLM","TAMAULIPAS","MEXICO","Ciudad Victoria region","TAM",23.71975,-99.12989,"WLR, JHZM, MR",NA,"0.725KG, PANAL DE ZANGANO CON MIEL, SIN ZANGANO, ENJ PARCIAL,",NA,"TRAPLINE",0,80,48
